fold num,imgid,label,feature1,feature2,feature3
0,image (1003).JPG,0,77.5,0,552.7422024011612
1,image (238).JPG,0,8492,1583.0,433.4213538169861
2,image (1292).JPG,0,42075,14545.5,1609.550420165062
3,image (410).JPG,0,34880,538.5,1219.9696860313416
4,image (758).JPG,0,43.0,0,299.22034335136414
5,image (1263).JPG,0,10804,473.5,434.8599525690079
6,image (1055).JPG,0,25272,3286.0,882.1046811342239
7,image (1347).JPG,0,90.5,1.5,673.1097334623337
8,image (355).JPG,0,50.5,0.0,422.71781718730927
9,image (1620).JPG,0,45.5,0,408.9188276529312
0,image (648).JPG,0,47.0,0,349.0193328857422
1,image (2).JPG,0,78.0,0,541.8132700920105
2,image (1116).JPG,0,17045.5,10155.0,965.7859205007553
3,image (656).JPG,0,57.0,34.0,337.50461411476135
4,image (344).JPG,0,79.0,1.5,523.3279888629913
5,image (1264).JPG,0,11680,1062.0,365.20309841632843
6,image (880).JPG,0,9027,1400.5,566.2741661071777
7,image (1609).JPG,0,32853,2330.0,919.9381605386734
8,image (1386).JPG,0,74.5,0,677.0853482484818
9,image (178).JPG,0,16786,957.5,657.8965303897858
0,image (683).JPG,0,16647,2169.0,824.1219260692596
1,image (1333).JPG,0,19116,219.0,480.7594473361969
2,image (778).JPG,0,46.5,0,617.9726504087448
3,image (722).JPG,0,1830,836.0,172.30865597724915
4,image (922).JPG,0,154.0,0.0,1146.1118214130402
5,image (426).JPG,0,119.5,0,612.080295920372
6,image (664).JPG,0,14300,205.5,421.9310202598572
7,image (1061).JPG,0,69.5,0.0,445.62950456142426
8,image (743).JPG,0,105.0,7.0,1046.8326029777527
9,image (581).JPG,0,48.5,0,290.29141104221344
0,image (1256).JPG,0,5175,1002.5,356.96045780181885
1,image (1003).JPG,0,77.5,0,552.7422024011612
2,image (238).JPG,0,8492,1583.0,433.4213538169861
3,image (1292).JPG,0,42075,14545.5,1609.550420165062
4,image (410).JPG,0,34880,538.5,1219.9696860313416
5,image (758).JPG,0,43.0,0,299.22034335136414
6,image (1263).JPG,0,10804,473.5,434.8599525690079
7,image (1055).JPG,0,25272,3286.0,882.1046811342239
8,image (1347).JPG,0,90.5,1.5,673.1097334623337
9,image (355).JPG,0,50.5,0.0,422.71781718730927
0,image (1620).JPG,0,45.5,0,408.9188276529312
1,image (648).JPG,0,47.0,0,349.0193328857422
2,image (2).JPG,0,78.0,0,541.8132700920105
3,image (1116).JPG,0,17045.5,10155.0,965.7859205007553
4,image (656).JPG,0,57.0,34.0,337.50461411476135
5,image (344).JPG,0,79.0,1.5,523.3279888629913
6,image (1264).JPG,0,11680,1062.0,365.20309841632843
7,image (880).JPG,0,9027,1400.5,566.2741661071777
8,image (1609).JPG,0,32853,2330.0,919.9381605386734
9,image (1386).JPG,0,74.5,0,677.0853482484818
0,image (178).JPG,0,16786,957.5,657.8965303897858
1,image (683).JPG,0,16647,2169.0,824.1219260692596
2,image (1333).JPG,0,19116,219.0,480.7594473361969
3,image (778).JPG,0,46.5,0,617.9726504087448
4,image (722).JPG,0,1830,836.0,172.30865597724915
5,image (922).JPG,0,154.0,0.0,1146.1118214130402
6,image (426).JPG,0,119.5,0,612.080295920372
7,image (664).JPG,0,14300,205.5,421.9310202598572
8,image (1061).JPG,0,69.5,0.0,445.62950456142426
9,image (743).JPG,0,105.0,7.0,1046.8326029777527
0,image (581).JPG,0,48.5,0,290.29141104221344
1,image (1256).JPG,0,5175,1002.5,356.96045780181885
2,image (1021).JPG,0,40424,10952.0,919.979790687561
3,image (742).JPG,0,10934,252.0,390.534051656723
4,image (78).JPG,0,17250,931.5,559.6711347103119
5,image (1572).JPG,0,102.5,0.0,878.3645666837692
6,image (709).JPG,0,6.0,0,63.5979790687561
7,image (1002).JPG,0,63.5,21.5,641.0853482484818
8,image (375).JPG,0,9982,1671.5,529.0437180995941
9,image (331).JPG,0,57.0,2.5,571.8721451759338
0,image (872).JPG,0,28842,1634.0,804.6660823822021
1,image (553).JPG,0,88.0,0,743.4112491607666
2,image (1142).JPG,0,15444,286.5,588.0731556415558
3,image (565).JPG,0,13013,3348.0,745.2762540578842
4,image (1222).JPG,0,38308,7527.5,857.5777697563171
5,image (440).JPG,0,69.0,0,461.5289993286133
6,image (612).JPG,0,11284,117.0,554.6000670194626
7,image (1181).JPG,0,17680,948.5,556.4751765727997
8,image (817).JPG,0,24564,603.0,623.9970356225967
9,image (828).JPG,0,28536,5889.0,817.1513636112213
0,image (370).JPG,0,21070,265.5,611.2518688440323
1,image (386).JPG,0,6254,629.5,284.2497808933258
2,image (647).JPG,0,66.5,24.5,575.2863587141037
3,image (1148).JPG,0,110.0,55.5,846.2640614509583
4,image (257).JPG,0,62.5,0,376.03152549266815
5,image (354).JPG,0,107.5,0,553.7960251569748
6,image (717).JPG,0,80.5,0,418.94321286678314
7,image (1591).JPG,0,123.5,17.0,1046.3889518976212
8,image (1141).JPG,0,18166.0,21.5,614.2985513210297
9,image (418).JPG,0,24308,499.5,597.5706294775009
0,image (704).JPG,0,23278,57.5,563.8305150270462
1,image (68).JPG,0,23490,675.0,562.6416971683502
2,image (1495).JPG,0,7497,624.5,449.48736917972565
3,image (1428).JPG,0,32964,312.0,696.9848430156708
4,image (734).JPG,0,98.5,0.0,653.9381605386734
5,image (1017).JPG,0,30736,12687.0,685.3523740768433
6,image (1189).JPG,0,13764,1106.5,486.0975408554077
7,image (48).JPG,0,137.5,13.5,1106.4722121953964
8,image (261).JPG,0,35313,228.5,867.8620405197144
9,image (1390).JPG,0,35.5,0,219.86500489711761
0,image (254).JPG,0,87.0,0,635.269113779068
1,image (653).JPG,0,35.0,0.0,350.04877042770386
2,image (1526).JPG,0,36.0,0,235.42135381698608
3,image (1178).JPG,0,55.0,0,329.1614682674408
4,image (263).JPG,0,35.5,0,289.3208485841751
5,image (1003).JPG,0,77.5,0,552.7422024011612
6,image (238).JPG,0,8492,1583.0,433.4213538169861
7,image (1292).JPG,0,42075,14545.5,1609.550420165062
8,image (410).JPG,0,34880,538.5,1219.9696860313416
9,image (758).JPG,0,43.0,0,299.22034335136414
0,image (1263).JPG,0,10804,473.5,434.8599525690079
1,image (1055).JPG,0,25272,3286.0,882.1046811342239
2,image (1347).JPG,0,90.5,1.5,673.1097334623337
3,image (355).JPG,0,50.5,0.0,422.71781718730927
4,image (1620).JPG,0,45.5,0,408.9188276529312
5,image (648).JPG,0,47.0,0,349.0193328857422
6,image (2).JPG,0,78.0,0,541.8132700920105
7,image (1116).JPG,0,17045.5,10155.0,965.7859205007553
